time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,4,4,0,0
2026-09-02 00:00:00+00:00,17,17,0,0
2026-09-03 00:00:00+00:00,11,9,0,0
2026-09-04 00:00:00+00:00,9,7,0,0
2026-09-05 00:00:00+00:00,2,2,0,0
2026-09-06 00:00:00+00:00,18,7,0,0
2026-09-07 00:00:00+00:00,4,3,0,0
2026-09-08 00:00:00+00:00,4,4,0,0
2026-09-09 00:00:00+00:00,10,5,0,0
2026-09-10 00:00:00+00:00,8,5,0,0
2026-09-11 00:00:00+00:00,13,10,0,0
2026-09-12 00:00:00+00:00,23,12,0,0
2026-09-13 00:00:00+00:00,5,5,0,0
2026-09-14 00:00:00+00:00,2,2,0,0
